disable if starts with #	RULE	hosts	ad/analy/track/	app/sp/pc	site/app id ページ・アプリの例	service	desctiption	url	create_at
汎用ルール									
+	/[\/_?&-](?:sp|google|page)?ad(?:sense|v[ert]*(?:ise(?:ment)?)?|js)?s?\d*[\/_.?=-]/		ad				汎用・広告		
+	/[\/_?&-]analy(?:tics|sis|s|zer?)?[\/_.?=-]/		analy				汎用・解析		
+	/[\/_?&-]beacons?[\/_.?=-]/		analy						
+	/[\/_?&-]aff(?:iliates?(?:id)?|id)[\/_.?=-]/		ad						
CSS非表示									
	##.ad		ad						
	##.ads		ad						
	##.spads		ad						
	##.plugin-ad		ad						
	##.google-user-ad		ad						
	###category-ad		ad			livedoor blog	ライブドアブログ スマホ用		

通常ルール									
▼アプリ									
	||adlayout.net^	ads.adlayout.net	ad	app	cn.menue.netcounter	AdLayout	中国 パケットモニター	
	||umeng.com^	alog.umeng.com	ad	app	cn.menue.netcounter	友盟 Umeng	中国 パケットモニター	
	||umeng.co^	alog.umeng.co	ad	app	cn.menue.netcounter	友盟 Umeng	中国 パケットモニター	
	||medibaad.com^	adc.medibaad.com	ad	app	com.sauzask.hissi	mediba ad	必死チェッカーdroid	
	||netad.access-company.com^	netad.access-company.com	ad	app	com.access_company.android.nfcommunicator	ACCESS	CosmoSia(デコメ・メール)	http://netad.access-company.com/ad/ads?v=1.0&a=3svfzreiorqut30gt8an&f=json&e=UTF-8&u=Mozilla%252F5.0%2B%2528Linux%253B%2BU%253B%2BAndroid%2B4.2.2%253B%2Bja-jp%253B%2BNexus%2B7%2BBuild%252FJDQ39%2529%2BAppleWebKit%252F534.30%2B%2528KHTML%252C%2Blike%2BGecko%2529%2BVersion%252F4.0%2BSafari%252F534.30&i=%3A%3A1%251
	||inmobi.com^	i.w.inmobi.com	ad	app	com.mxtech.videoplayer.ad	"InMobi: Mobile Advertising Solutions for Agencies, Advertisers …"	MXプレイヤー	http://i.w.inmobi.com/showad.asm
	||admob.com^	media.admob.com	ad	app	com.mxtech.videoplayer.ad	google		http://media.admob.com/sdk-core-v40.js
	||appdriver.jp^	appdriver.jp gyro.appdriver.jp	ad	app	jp.co.dankhearts.mcg	Adways	目的：広告 送信先：Adways sdk	http://appdriver.jp/3.0.6267z?app=1.0-4&digest=debe3bfe7840fdb0975b8da2571368189c7dad22833373b45c2ee4f3db860300
	||reward.gree.net^	reward.gree.net	ad	app	jp.co.dankhearts.mcg			http://reward.gree.net/3.0.3493a?_spn=&advertisement=install&campaign_id=3393&carrier=&country=JP&lang=ja&model=Nexus+7&privileged=1&refresh=0%3BURL%3Ddhmcg%3A%2F%2Flaunch%2F&sdk_ver=1.6&send_time=2013-07-01T12%3A01%3A03&system=4.2.2&user=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855&digest=2acbd435dd30e55ab64cf095a7a127619413b15b9586c31c0e2ea15f9d9b4778
	||metaps.net^	apis-urls.metaps.net	ad	app	jp.co.dankhearts.mcg		SSL通信	
	||appbrain.com^	p.appbrain.com	ad	app	com.ziggysgames.busjumper			http://p.appbrain.com/app2.data?v=29
	||appang.kr^	m.appang.kr	ad	app	com.com2us.tinyfarm.normal.freefull.google.global.android.common			http://m.appang.kr//appJson/spAppRunAndroid.asp
	||playhaven.com^	api2.playhaven.com	ad	app	com.com3us.tinyfarm.normal.freefull.google.global.android.common			http://api2.playhaven.com/v3/publisher/open/?app=com.com2us.tinyfarm.normal.freefull.google.global.android.common&os=4.2.2+17&orientation=0&connection=0&hardware=Nexus+7&idiom=3&width=1280&scount=0&app_version=1.04.00&sdk_version=1.12.1&sdk_platform=android&ssum=0&languages=ja&height=736&token=a2d0626ad5844fd4acfc1edf48966385&nonce=hX5is6z0SABKe3Jfm9-alxwGQL0&device=c32c60dd73a787d3&dpi=213&signature=dfac6426429cec910d6d8fe5af5c913a4a6dfebf
+	||kontagent.net^	api.geo.kontagent.net	track	app	com.com4us.tinyfarm.normal.freefull.google.global.android.common			http://api.geo.kontagent.net/api/v1/a2355d8971c245ecba44456b4e5e8c63/apa/?ts=1372688755&s=4900991262269227537&su=daab95962f887af6daed71c932d21d8e&kt_v=au1.2.7
